ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 8403728 458 964877 16 -723392 0 0 9032
0 8403606 458 985007 16 -723210 0 0 9032
0 8403589 459 5136 16 -723028 0 0 9032
0 8403516 459 25263 16 -722846 0 0 9032
0 8403478 459 45392 16 -722664 0 0 9037
0 8403450 459 65523 16 -722482 0 0 9037
0 8403421 459 85652 16 -722301 0 0 9032
0 8403422 459 105783 16 -722119 0 0 9032
0 8403428 459 125910 16 -721937 0 0 9032
0 8403462 459 146041 16 -721755 0 0 9032
0 8403458 459 166168 16 -721573 0 0 9037
0 8403533 459 186299 16 -721391 0 0 9037
0 8403641 459 206424 16 -721210 0 0 9032
0 8403670 459 226554 16 -721028 0 0 9032
0 8403806 459 246685 16 -720846 0 0 9032
0 8403941 459 266812 16 -720664 0 0 9032
0 8404012 459 286944 16 -720482 0 0 9037
0 8404204 459 307069 16 -720301 0 0 9032
0 8404366 459 327199 16 -720119 0 0 9032
0 8404520 459 347328 16 -719937 0 0 9032
0 8404859 459 367458 16 -719755 0 0 9032
0 8404973 459 387587 16 -719573 0 0 9032
0 8405142 459 407716 16 -719391 0 0 9037
0 8405470 459 427844 16 -719210 0 0 9032
0 8405470 459 447973 16 -719028 0 0 9032
0 8405628 459 468102 16 -718846 0 0 9032
0 8405838 459 488231 16 -718664 0 0 9032
0 8405900 459 508360 16 -718482 0 0 9037
0 8406371 459 528488 16 -718300 0 0 9037
0 8406723 459 548617 16 -718119 0 0 9032
0 8406826 459 568748 16 -717937 0 0 9032
0 8407130 459 588877 16 -717755 0 0 9032
0 8407152 459 609008 16 -717573 0 0 9032
0 8407219 459 629134 16 -717391 0 0 9037
0 8407586 459 649263 16 -717209 0 0 9037
0 8407859 459 669392 16 -717028 0 0 9032
0 8408005 459 689521 16 -716846 0 0 9032
0 8408219 459 709650 16 -716664 0 0 9032
0 8408211 459 729780 16 -716482 0 0 9032
0 8408477 459 749909 16 -716300 0 0 9037
0 8408842 459 770038 16 -716118 0 0 9037
0 8408922 459 790166 16 -715937 0 0 9032
0 8409122 459 810294 16 -715755 0 0 9032
0 8409323 459 830425 16 -715573 0 0 9032
0 8409304 459 850554 16 -715391 0 0 9032
0 8409530 459 870683 16 -715209 0 0 9037
0 8409755 459 890812 16 -715027 0 0 9037
0 8409806 459 910943 16 -714846 0 0 9032
0 8409969 459 931072 16 -714664 0 0 9032
0 8410036 459 951200 16 -714482 0 0 9032
0 8410075 459 971329 16 -714300 0 0 9032
0 8410167 459 991458 16 -714118 0 0 9037
0 8410201 460 11585 16 -713936 0 0 9037
0 8410204 460 31716 16 -713755 0 0 9032
0 8410184 460 51845 16 -713573 0 0 9032
0 8410188 460 71972 16 -713391 0 0 9032
0 8410148 460 92102 16 -713209 0 0 9032
0 8410069 460 112229 16 -713027 0 0 9037
0 8410039 460 132358 16 -712846 0 0 9032
0 8409905 460 152490 16 -712664 0 0 9032
0 8409759 460 172618 16 -712482 0 0 9032
0 8409704 460 192747 16 -712300 0 0 9032
0 8409428 460 212876 16 -712118 0 0 9032
0 8409171 460 233006 16 -711936 0 0 9037
0 8409084 460 253133 16 -711755 0 0 9032
0 8408821 460 273262 16 -711573 0 0 9032
0 8408708 460 293391 16 -711391 0 0 9032
0 8408628 460 313520 16 -711209 0 0 9032
0 8408236 460 333649 16 -711027 0 0 9037
0 8408067 460 353778 16 -710845 0 0 9037
0 8407874 460 373907 16 -710664 0 0 9032
0 8407656 460 394037 16 -710482 0 0 9032
0 8407573 460 414164 16 -710300 0 0 9032
0 8407194 460 434295 16 -710118 0 0 9032
0 8406904 460 454424 16 -709936 0 0 9037
0 8406978 460 474553 16 -709754 0 0 9037
0 8406624 460 494682 16 -709573 0 0 9032
0 8406423 460 514810 16 -709391 0 0 9032
0 8406379 460 534940 16 -709209 0 0 9032
0 8405787 460 555069 16 -709027 0 0 9032
0 8405344 460 575198 16 -708845 0 0 9037
0 8405140 460 595326 16 -708663 0 0 9037
0 8404821 460 615455 16 -708482 0 0 9032
0 8404810 460 635583 16 -708300 0 0 9032
0 8404663 460 655712 16 -708118 0 0 9032
0 8404418 460 675841 16 -707936 0 0 9032
0 8404366 460 695970 16 -707754 0 0 9037
0 8404152 460 716103 16 -707572 0 0 9037
0 8404007 460 736232 16 -707391 0 0 9032
0 8404013 460 756361 16 -707209 0 0 9032
0 8403811 460 776490 16 -707027 0 0 9032
0 8403590 460 796617 16 -706845 0 0 9032
0 8403581 460 816745 16 -706663 0 0 9037
0 8403391 460 836876 16 -706481 0 0 9037
0 8403298 460 857005 16 -706300 0 0 9032
0 8403266 460 877132 16 -706118 0 0 9032
0 8403173 460 897264 16 -705936 0 0 9032
0 8403144 460 917389 16 -705754 0 0 9032
0 8403136 460 937518 16 -705572 0 0 9037
0 8403158 460 957648 16 -705391 0 0 9032
0 8403166 460 977777 16 -705209 0 0 9032
0 8403200 460 997906 16 -705027 0 0 9032
0 8403288 461 18036 16 -704845 0 0 9032
0 8403280 461 38164 16 -704663 0 0 9032
0 8403370 461 58294 16 -704481 0 0 9037
0 8403480 461 78422 16 -704300 0 0 9032
0 8403504 461 98551 16 -704118 0 0 9032
0 8403659 461 118680 16 -703936 0 0 9032
0 8403819 461 138809 16 -703754 0 0 9032
0 8403842 461 158938 16 -703572 0 0 9037
0 8404067 461 179067 16 -703390 0 0 9037
0 8404252 461 199196 16 -703209 0 0 9032
0 8404350 461 219325 16 -703027 0 0 9032
0 8404763 461 239454 16 -702845 0 0 9032
0 8404924 461 259583 16 -702663 0 0 9032
0 8405116 461 279712 16 -702481 0 0 9037
0 8405398 461 299841 16 -702299 0 0 9037
0 8405459 461 319969 16 -702118 0 0 9032
0 8405781 461 340101 16 -701936 0 0 9032
0 8406363 461 360228 16 -701754 0 0 9032
0 8406489 461 380358 16 -701572 0 0 9032
0 8406832 461 400487 16 -701390 0 0 9037
0 8407096 461 420616 16 -701208 0 0 9037
0 8407193 461 440744 16 -701027 0 0 9032
0 8407684 461 460873 16 -700845 0 0 9032
0 8408049 461 481004 16 -700663 0 0 9032
0 8408110 461 501131 16 -700481 0 0 9032
0 8408412 461 521260 16 -700299 0 0 9037
0 8408562 461 541391 16 -700117 0 0 9037
0 8408729 461 561520 16 -699936 0 0 9032
0 8409090 461 581649 16 -699754 0 0 9032
0 8409153 461 601775 16 -699572 0 0 9032
0 8409351 461 621906 16 -699390 0 0 9032
0 8409582 461 642037 16 -699208 0 0 9037
0 8409751 461 662164 16 -699026 0 0 9037
0 8409960 461 682292 16 -698845 0 0 9032
0 8410139 461 702423 16 -698663 0 0 9032
0 8410159 461 722550 16 -698481 0 0 9032
0 8410294 461 742680 16 -698299 0 0 9032
0 8410387 461 762808 16 -698117 0 0 9037
0 8410413 461 782937 16 -697935 0 0 9037
0 8410489 461 803067 16 -697754 0 0 9032
0 8410502 461 823196 16 -697572 0 0 9032
0 8410497 461 843325 16 -697390 0 0 9032
0 8410497 461 863454 16 -697208 0 0 9032
0 8410490 461 883582 16 -697026 0 0 9037
0 8410429 461 903711 16 -696845 0 0 9032
0 8410357 461 923840 16 -696663 0 0 9032
0 8410340 461 943969 16 -696481 0 0 9032
0 8410237 461 964098 16 -696299 0 0 9032
0 8410125 461 984226 16 -696117 0 0 9032
0 8410111 462 4355 16 -695935 0 0 9037
0 8409919 462 24486 16 -695754 0 0 9032
0 8409710 462 44615 16 -695572 0 0 9032
0 8409655 462 64744 16 -695390 0 0 9032
0 8409465 462 84873 16 -695208 0 0 9032
0 8409369 462 105003 16 -695026 0 0 9037
0 8409172 462 125130 16 -694844 0 0 9037
0 8408860 462 145260 16 -694663 0 0 9032
0 8408728 462 165389 16 -694481 0 0 9032
0 8408568 462 185518 16 -694299 0 0 9032
0 8408263 462 205646 16 -694117 0 0 9032
0 8408118 462 225775 16 -693935 0 0 9037
0 8407725 462 245904 16 -693753 0 0 9037
0 8407446 462 266032 16 -693572 0 0 9032
0 8407381 462 286161 16 -693390 0 0 9032
0 8407039 462 306290 16 -693208 0 0 9032
0 8406771 462 326419 16 -693026 0 0 9032
0 8406636 462 346551 16 -692844 0 0 9037
0 8406181 462 366679 16 -692662 0 0 9037
0 8405796 462 386810 16 -692481 0 0 9032
0 8405702 462 406937 16 -692299 0 0 9032
0 8405318 462 427068 16 -692117 0 0 9032
0 8405178 462 447195 16 -691935 0 0 9032
0 8405062 462 467324 16 -691753 0 0 9037
0 8404752 462 487455 16 -691571 0 0 9037
0 8404540 462 507581 16 -691390 0 0 9032
0 8404270 462 527711 16 -691208 0 0 9032
0 8403859 462 547839 16 -691026 0 0 9032
0 8403763 462 567969 16 -690844 0 0 9032
0 8403557 462 588098 16 -690662 0 0 9037
0 8403393 462 608226 16 -690480 0 0 9037
0 8403400 462 628355 16 -690299 0 0 9032
0 8403242 462 648483 16 -690117 0 0 9032
0 8403163 462 668614 16 -689935 0 0 9032
0 8403140 462 688743 16 -689753 0 0 9032
0 8403010 462 708872 16 -689571 0 0 9037
0 8402931 462 729002 16 -689390 0 0 9032
0 8402902 462 749129 16 -689208 0 0 9032
0 8402840 462 769258 16 -689026 0 0 9032
0 8402838 462 789387 16 -688844 0 0 9032
0 8402833 462 809516 16 -688662 0 0 9032
0 8402854 462 829645 16 -688480 0 0 9037
0 8402864 462 849774 16 -688299 0 0 9032
0 8402927 462 869903 16 -688117 0 0 9032
